day,date,time,beg_time,end_time,location,id,session,type,url,sponsor,has_fee,beg_time_round,end_time_round
Sun,7/28/2019,12:30 PM - 2:00 PM,12:30 PM,2:00 PM,H-Centennial Ballroom D-E,218964,First-Time Attendee Orientation and Reception,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218964,"ASA, Caucus for Women in Statistics",FALSE,12,14
Sun,7/28/2019,12:30 PM - 1:50 PM,12:30 PM,1:50 PM,H-Centennial Ballroom F,,SPAIG Committee Speaker with Lunch (Added Fee),Roundtable,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/index.cfm,"Stats. Partnerships Among Academe Indust. & Govt. Committee, Biopharmaceutical Section, Section on Bayesian Statistical Science",FALSE,12,14
Sun,7/28/2019,1:00 PM - 4:00 PM,1:00 PM,4:00 PM,H-Centennial Ballroom C,218910,Council of Sections Opening Business Meeting,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218910,Council of Sections,FALSE,13,16
Sun,7/28/2019,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,CC-Hall C,219035,EXPO 2019,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219035,JSM,FALSE,13,18
Sun,7/28/2019,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,CC-Hall C,219036,ASA Booth #100,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219036,ASA,FALSE,13,18
Sun,7/28/2019,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,CC-Hall C,219083,ASA Store,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219083,ASA,FALSE,13,18
Sun,7/28/2019,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,CC-Hall D,219088,JSM Career Service,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219088,JSM,FALSE,13,18
Sun,7/28/2019,1:00 PM - 2:00 PM,1:00 PM,2:00 PM,CC-Hall C,219134,Spotlight Denver Kick-Off (While Supplies Last),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219134,JSM,FALSE,13,14
Sun,7/28/2019,1:00 PM - 6:00 PM,1:00 PM,6:00 PM,CC-Hall C,219152,JSM Data Art Show,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219152,JSM,FALSE,13,18
Sun,7/28/2019,1:00 PM - 5:00 PM,1:00 PM,5:00 PM,CC-406,,Functional Data Analysis for Wearables: Methods and Applications (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308039,"ASA, Biometrics Section",TRUE,13,17
